submission_time_oar,total_energy_consumption
1561551500,434270758243.7152
1561555204,197777986292.84848
1561555204,220557584200.92426
1561555204,196587424162.0864
1561555204,203193414372.66364
1561555298,207392134040.78787
1561555298,220323701888.67426
1561555298,198233397646.94547
1561555298,212267811478.50452
1561556729,212639770873.89545
1561556729,214308245833.1409
1561556729,212350532516.09848
1561556729,216245244563.74695
1561556729,187759258673.67426
1561556729,203050567606.28787
1561567440,54047460163.810616
1561567440,55142361219.72727
1561567440,53258977860.86364
1561567440,55006531098.689384
1561567440,46352000564.32576
1561567440,47672255192.045456
1561569549,18719692130.560608
1561569549,18829601393.189392
1561569549,17562099809.424244
1561569549,18698134694.924244
1561607333,25989282287.32576
1561607333,26050943816.530304
1561607333,25892606682.416668
1561607333,25938413054.90909
1561607545,365224377315.70496
1561607545,385956411471.0903
1561607545,357746660877.3762
1561607545,368655986981.9753
1561607686,214844444908.1288
1561607686,218495505996.1894
1561607686,195290864225.36206
1561607686,217682935902.83185
1561607686,202234319696.91666
1561607686,214806927122.3788
1561607815,417181473902.7219
1561607815,432610387424.3895
1561607815,392682605654.17706
1561607815,418210634656.5424
1561609512,416380240497.1663
1561609512,406206497695.7275
1561609512,368096641173.8721
1561609512,398118729305.6231
1561610191,856235830121.8345
1561610191,872825864316.2362
1561610191,772007573930.0913
1561610191,859770200684.6422
1561610191,805992913078.1455
1561610191,852755784694.2848
1561610548,424482215228.8697
1561610548,440308389943.8091
1561610548,382340440745.5485
1561610548,409257739618.1894
1561610624,110298055596.61667
1561610624,110924057097.10756
1561610624,102994218200.25
1561610624,105596097136.38637
1561610624,102243061162.35606
1561610624,109989930876.93182
1561610624,92610536635.87123
1561610624,94656542823.62877
1561630318,216468661112.5606
1561630318,220816753405.35605
1561630318,215578408731.86365
1561630318,221115276173.44696
1561630318,216752199789.34396
1561630318,221355578020.73486
1561630318,194961970027.2091
1561630318,208815474624.1909
1561664727,410312676209.6364
1561664727,418392607956.7121
1561664727,378247675743.0697
1561664727,389906932739.1515
1561664727,375643181041.0303
1561664727,413136964180.1212
1561664727,408378481840.43787
1561664727,406742300859.7152
1561665102,436063412453.8864
1561665102,429263445794.3197
1561665102,370559431462.7545
1561665102,400215139798.4
1561667029,209578359625.86365
1561667029,219060661996.2788
1561667029,199697497629.0364
1561667029,199217054295.6197
1561667345,400247816738.4227
1561667345,423956738154.4288
1561667345,386684772255.2167
1561667345,413416885809.8909
1561700894,407865388707.5757
1561700894,418749548423.7955
1561700894,409002509627.1849
1561700894,390177650785.9545
1561700894,380516261172.3151
1561700894,423933475724.3757
1561700894,371001318663.0379
1561700894,413797781441.9924
1561706246,815323221105.1045
1561706246,793371492130.6924
1561706246,799528824789.8955
1561706246,794923033262.8091
1561706246,809050484924.9818
1561706246,803340123881.2954
1561706246,796677471647.147
1561706246,850714173879.6515
1561718104,863042794230.8258
1561718104,850214067517.2545
1561720276,23998686901.060608
1561720276,23801671896.35606
1561722302,386984415938.7985
1561722302,418517514011.8182
1561722302,408458437443.2591
1561722302,407363854710.62427
1561729024,391427698345.0682
1561729024,391861688821.6743
1561784744,387988437414.8333
1561784744,421329010469.3561
1561784744,404519155771.5136
1561784744,394722187270.25
1561784744,375052480391.8137
1561784744,417108507744.4106
1561784837,385316422961.0152
1561784837,398901002315.4318
1561784837,382259105150.2121
1561784837,426401943743.09344
1561891184,870628519399.0349
1561891184,884634189953.2242
1561891184,822129359626.0454
1561891184,865222016037.0682
1561891184,840736942924.9076
1561891184,812385961662.1394
1561891184,751435817975.9985
1561891184,770283251296.759
1561891355,411517802967.98334
1561891355,424455753803.4106
1561891355,412706283939.52576
1561891355,415149455259.2303
1561891355,408600955575.2727
1561891355,423381907154.553
1561891355,377406350321.45294
1561891355,401585367571.7606
1561891479,741534173190.1106
1561891479,755978629117.5015
1561891479,675963186130.0682
1561891479,756707511343.4379
1561891479,702000790284.798
1561891479,664383996183.5798
1561891628,395829100420.8303
1561891628,411861212830.4773
