submission_time_oar,total_energy_consumption
1562101017,298274107098.7955
1562101017,301239364197.0682
1562101017,300518514301.0318
1562101017,301132248295.36816
1562101017,300656852804.9318
1562101017,300953548498.49243
1562101017,300650851717.4091
1562101017,300796019544.2727
1562101017,289854337568.44244
1562101017,300895519304.0576
1562101017,300611400331.9576
1562101017,292247814965.4667
1562101017,299177843024.7288
1562101017,292438904269.8379
1562133572,590193241079.0652
1562133572,597612191535.0378
1562133572,596626018011.5728
1562133572,597544527852.8076
1562133572,596796956402.5803
1562133572,597273841720.6895
1562133572,596828037097.25
1562133572,597056301795.8636
1562133572,573324476442.8894
1562133572,597150455461.8136
1562133572,596094658718.2651
1562133572,576389551021.0605
1562133572,592499247509.3242
1562133572,577583480446.3773
1562182403,562543569557.4429
1562182403,584604615117.6449
1562182403,578184362666.0343
1562182403,566321222311.7242
1562182403,567846862677.7242
1562182403,567648207833.406
1562182403,577030469084.7181
1562182403,582604807062.0061
1562182403,578036932671.3334
1562182403,585939920641.8984
1562182403,548758288847.3788
1562182403,581576856519.8091
1562259986,576355116240.4742
1562259986,585050468209.241
1562259986,542125668080.9091
1562259986,575549634958.4485
1562259986,572011445258.3152
1562259986,559399964060.8287
1562259986,561109855877.0636
1562259986,588124980330.3303
1562259986,575311291803.1288
1562259986,565740440543.1151
1562259986,577567860598.4424
1562259986,582753928524.9712
1562259986,548920764434.55
1562259986,581438624592.3318
1562350665,76961959921.01364
1562350665,81404858567.53181
1562350665,75839339361.33333
1562350665,80514938539.10606
1562350665,79989230155.2197
1562350665,78342931027.89394
1562350665,80574199596.80302
1562350665,81276815516.93939
1562350665,78133589786.68939
1562350665,80947869868.69698
1562350665,76563257893.90152
1562350665,80879279649.74243
1562350665,79735774882.78485
1562350665,81122132167.12727
1562350665,80828073584.15909
1562350665,80920710334.86363
