hostname,timestamp_minute,timestamp,pp0/package1,DRAM/package1,pp0/package2,DRAM/package2
bigfoot1,26041830,1562509830,133380445.81818181,24584493.363636363,148937562.54545453,16829232.181818184
bigfoot1,26041831,1562509886.3636363,133362024.27272727,24589254.545454547,148905191.9090909,16825835.727272727
bigfoot1,26041832,1562509947.5,133447702.25,24564274.916666668,148973139.58333334,16824942
bigfoot1,26041833,1562510007.5,133480010,24610275.666666668,149101297.75,16831201.083333332
bigfoot1,26041834,1562510067.5,133469308.58333333,24596867.833333332,149121088.41666666,16819003.166666668
bigfoot1,26041835,1562510127.5,133476398.83333333,24606692.916666668,148998575.83333334,16821222.833333332
bigfoot1,26041836,1562510187.5,133379795.66666667,24595888.583333332,148976338.83333334,16819782.166666668
bigfoot1,26041837,1562510247.5,133498875,24590946.666666668,149012410.41666666,16823646.666666668
bigfoot1,26041838,1562510307.5,133570764,24576665.333333332,148981786.16666666,16833731.916666668
bigfoot1,26041839,1562510367.5,133548018.33333333,24585009,148871994.41666666,16819735
bigfoot1,26041840,1562510427.5,133496896.33333333,24590589.75,148939305.83333334,16816236.416666668
bigfoot1,26041841,1562510487.5,133515700.33333333,24592146.416666668,148991409.33333334,16817244.833333332
bigfoot1,26041842,1562510547.5,133502710,24600997.5,149025207.5,16817343.083333332
bigfoot1,26041843,1562510607.5,133435184.91666667,24611625.916666668,149031285.5,16812744.166666668
bigfoot1,26041844,1562510667.5,133471866.91666667,24616344.666666668,149006098.5,16838958.166666668
bigfoot1,26041845,1562510727.5,133385894.16666667,24612600,148979838.08333334,16814925.666666668
bigfoot1,26041846,1562510787.5,135643807.58333334,24634463.666666668,152166709.5,17280878.25
bigfoot1,26041847,1562510847.5,133439035.25,24640423.083333332,148861140.25,16818068.583333332
bigfoot1,26041848,1562510907.5,133477034.58333333,24609263.333333332,148847102.33333334,16820271.75
bigfoot1,26041849,1562510967.5,133484506.25,24559327.916666668,148819992.5,16820107.25
bigfoot1,26041850,1562511027.5,133527530.91666667,24525275.25,148926742.75,16825452.083333332
bigfoot1,26041851,1562511087.5,133509276.33333333,24555700.583333332,148922460.16666666,16817881.083333332
bigfoot1,26041852,1562511147.5,133576186,24563323.833333332,148908045.75,16824133.75
bigfoot1,26041853,1562511207.5,133592904.41666667,24582034.416666668,148762400.91666666,16823924.583333332
bigfoot1,26041854,1562511267.5,133646269.41666667,24607053.75,148943649.5,16835212.25
bigfoot1,26041855,1562511327.5,133611296.33333333,24579740.666666668,148965357.58333334,16818832.25
bigfoot1,26041856,1562511387.7272727,133607229.72727273,24600265,148895298.63636363,16816868.454545453
bigfoot1,26041857,1562511447.5,133515008.5,24558625.416666668,148973953.33333334,16821799.166666668
bigfoot1,26041858,1562511507.5,133501357.08333333,24573177,148921198.75,16819430.25
bigfoot1,26041859,1562511567.5,133573022.33333333,24603397.083333332,148930547.33333334,16822330.916666668
bigfoot1,26041860,1562511627.5,133551838,24551625.666666668,149095250.16666666,16813937.5
