hostname,timestamp_minute,timestamp,pp0/package1,DRAM/package1,pp0/package2,DRAM/package2
bigfoot1,26067750,1564065030,133792138,24798164.90909091,149207570.36363637,16927810.09090909
bigfoot1,26067751,1564065087.5,136743129.33333334,25177530.833333332,151311649.83333334,16921564.166666668
bigfoot1,26067752,1564065147.5,133825427.5,24790484.166666668,149277002.25,16906885
bigfoot1,26067753,1564065207.5,133802773.25,24812773.75,149292901.91666666,16908973.5
bigfoot1,26067754,1564065267.5,133784788.33333333,24801665.916666668,149400974.58333334,16918098.666666668
bigfoot1,26067755,1564065327.5,133842771.58333333,24794154.916666668,149394667.58333334,16911334.833333332
bigfoot1,26067756,1564065387.5,133838448.33333333,24821591.583333332,149344893.58333334,16916059.916666668
bigfoot1,26067757,1564065447.5,133884199.08333333,24802902.666666668,149377664.25,16902645.666666668
bigfoot1,26067758,1564065507.5,135119313.5,24792106,151247359.58333334,17162309.666666668
bigfoot1,26067759,1564065567.5,133852247.25,24771838.583333332,149463174.25,16912756.416666668
bigfoot1,26067760,1564065627.5,133889020.83333333,24808091.916666668,149481332.25,16917099.083333332
bigfoot1,26067761,1564065687.5,133943693,24797652.25,149487257.66666666,16894268.916666668
bigfoot1,26067762,1564065747.5,139721901.83333334,25552354,153617277.41666666,16894200.083333332
bigfoot1,26067763,1564065807.5,134890879.83333334,24817918.416666668,149910764.33333334,16895855
bigfoot1,26067764,1564065867.5,134333788,24884767.833333332,149946449.41666666,16956384.416666668
bigfoot1,26067765,1564065927.5,133545815.91666667,24736753.166666668,149134633.08333334,16874567.583333332
bigfoot1,26067766,1564065987.5,133863818.5,24799660.333333332,149511336,16885569.583333332
bigfoot1,26067767,1564066047.5,133826933,24807312.916666668,149456017.91666666,16894832.5
bigfoot1,26067768,1564066107.5,133984718.66666667,24839741.25,149696033,16939715
bigfoot1,26067769,1564066167.5,134630982.58333334,24950569.333333332,150384879.08333334,17000999.25
bigfoot1,26067770,1564066227.5,132909968.66666667,24643977.75,148457271.75,16783604
bigfoot1,26067771,1564066287.5,133849027.58333333,24813269.666666668,149464705.25,16909072.916666668
bigfoot1,26067772,1564066347.5,133901329.58333333,24783889.916666668,149566623.58333334,16922568.833333332
bigfoot1,26067773,1564066407.5,133767388.33333333,24745708.666666668,149324512.91666666,16907622
bigfoot1,26067774,1564066467.5,134773239.91666666,24978468.916666668,150513652.75,17034677
bigfoot1,26067775,1564066527.5,132757813.41666667,24596059.416666668,148307242.66666666,16782783
bigfoot1,26067776,1564066587.8333333,133797605.75,24805303.5,149433373.91666666,16907231.833333332
bigfoot1,26067777,1564066647.5,133680662.58333333,-5451290050.166667,149340789,16907101.75
bigfoot1,26067778,1564066705,134909278.1818182,25011122.818181816,150651597.36363637,17045685.545454547
bigfoot1,26067779,1564066773.2222223,191804101.55555555,35571821.666666664,214069459.33333334,24220131.222222224
bigfoot1,26067780,1564066827.5,133780002.16666667,24826663.583333332,149251916.91666666,16906387.75
bigfoot1,26067781,1564066887.75,133784422.16666667,24829211,149288944.75,16905254.333333332
bigfoot1,26067782,1564066947.5,133747872.25,24830874.916666668,149369795.83333334,16907449.916666668
bigfoot1,26067783,1564067007.5,133779910.66666667,24828289.166666668,149319080.83333334,16915829.166666668
bigfoot1,26067784,1564067067.5,133801145.66666667,24817715.666666668,149285933.75,16904104.25
bigfoot1,26067785,1564067127.5,133783115,24857524.916666668,149290292.66666666,16913549.5
bigfoot1,26067786,1564067187.5,133804609.41666667,24830549.833333332,149331969.41666666,16939822.083333332
bigfoot1,26067787,1564067247.5,133832522.83333333,24821190,149385954.83333334,16936035.416666668
bigfoot1,26067788,1564067307.5,133861931.41666667,24813065.666666668,149365604.75,16944324.083333332
bigfoot1,26067789,1564067367.5,134441423.25,24818012.666666668,150029691,16985093.583333332
bigfoot1,26067790,1564067427.5,133834338.58333333,24795581.666666668,149363656.75,16935425.916666668
bigfoot1,26067791,1564067487.5,133836317.08333333,24816960.833333332,149443973.75,16927195.833333332
bigfoot1,26067792,1564067547.5,133832207.41666667,24791307.833333332,149463169.16666666,16911838.416666668
bigfoot1,26067793,1564067607.5,133782677.58333333,24785148.25,149446216.75,16905946.666666668
bigfoot1,26067794,1564067667.5,133810657,24792528,149466607.5,16907221.583333332
bigfoot1,26067795,1564067727.5,133823194.58333333,24776545.916666668,149395771.33333334,16904372.083333332
bigfoot1,26067796,1564067787.5,133786227.75,24780271.416666668,149435362.66666666,16922502.5
bigfoot1,26067797,1564067847.5,133748075.75,24796365.75,149423603.33333334,16909486.083333332
bigfoot1,26067798,1564067907.5,133787870.58333333,24784864,149515374.41666666,16919024.333333332
bigfoot1,26067799,1564067967.5,133767225.5,24770206.583333332,149456201.08333334,16893811.166666668
bigfoot1,26067800,1564068027.5,133877968.5,24730109.083333332,149539081.5,16920394.916666668
bigfoot1,26067801,1564068087.5,133900439.41666667,24726702.25,149472176.91666666,16892434.25
bigfoot1,26067802,1564068147.5,133878583.91666667,24719492.166666668,149491448.83333334,16892761.833333332
bigfoot1,26067803,1564068207.5,133916328.91666667,24718986,149497267.41666666,16890756.333333332
bigfoot1,26067804,1564068267.5,133898262.58333333,24756386.916666668,149421853.58333334,16899984.75
bigfoot1,26067805,1564068327.5,133961093,24766948.916666668,149474247.08333334,16901064.666666668
bigfoot1,26067806,1564068387.5,133815051.5,24719805.833333332,-21695883789.5,16892209.833333332
bigfoot1,26067807,1564068447.5,133831297,24721539.833333332,149413288.41666666,16903100.833333332
bigfoot1,26067808,1564068507.5,133816175.58333333,24751036.916666668,149386234.58333334,16921567.916666668
bigfoot1,26067809,1564068567.5,133835533.83333333,24791895.583333332,149442529.16666666,16910160.5
bigfoot1,26067810,1564068627.5,133829333.75,24791745.166666668,149459441,16899281
bigfoot1,26067811,1564068687.5,133767957.91666667,24761395.083333332,149432555.08333334,16900613.333333332
bigfoot1,26067812,1564068747.5,133804344.91666667,24789057.416666668,149368778.58333334,16894114.666666668
bigfoot1,26067813,1564068807.5,133789894.91666667,24783780.25,149380599,16887712.833333332
bigfoot1,26067814,1564068867.5,133776370.58333333,24770011.5,149325591.25,16891508.583333332
bigfoot1,26067815,1564068927.5,133818261,24800565.583333332,149263981.5,16895431.666666668
bigfoot1,26067816,1564068987.5,133808373.25,24803222.75,149323790.75,16889722.333333332
bigfoot1,26067817,1564069047.5,133832858.5,24811581.583333332,149297240.41666666,16900077.833333332
bigfoot1,26067818,1564069107.5,133796741,24784700.75,149266010.91666666,16895390.916666668
bigfoot1,26067819,1564069167.5,133838687.33333333,24814692.583333332,149199009.75,16896787
bigfoot1,26067820,1564069227.5,133835767.75,24798359.833333332,149246159.25,16883819.083333332
bigfoot1,26067821,1564069287.5,-21711420218.166668,24821526.666666668,149243188.91666666,16889376.75
bigfoot1,26067822,1564069347.5,133922091.66666667,24740098.666666668,149344547.66666666,16912530.75
bigfoot1,26067823,1564069407.5,133899325.58333333,24779975.666666668,149334822.83333334,16907412.833333332
bigfoot1,26067824,1564069467.5,133873996.08333333,24774326.083333332,149321527.33333334,16892728.75
bigfoot1,26067825,1564069527.5,133943026.66666667,24796502.166666668,149439441.83333334,16941482.166666668
bigfoot1,26067826,1564069587.5,133829410,24791457,149287683.41666666,16899172.583333332
bigfoot1,26067827,1564069647.5,133848025.66666667,24766490,149337157.33333334,16906633.916666668
bigfoot1,26067828,1564069707.5,133769804.25,24788738.666666668,149334522.75,16902260.583333332
bigfoot1,26067829,1564069767.5,133820041.08333333,24792980.583333332,149310612.16666666,16902663.5
bigfoot1,26067830,1564069827.5,137593565.58333334,25260181.5,151948962,16899715.75
bigfoot1,26067831,1564069887.5,133824873.08333333,24784506.916666668,149374002.16666666,16907613.083333332
bigfoot1,26067832,1564069947.5,133824883.25,24789989.5,149362578.5,16915454.333333332
bigfoot1,26067833,1564070007.5,133770063.66666667,24771485.416666668,149275949.41666666,16902112.75
bigfoot1,26067834,1564070067.5,133726230.33333333,24799312.25,149266082.08333334,16905137
bigfoot1,26067835,1564070127.5,133767169.5,24796528.916666668,149258651.08333334,16909639
bigfoot1,26067836,1564070187.5,133771660.75,24781410,149258702,16911433
bigfoot1,26067837,1564070247.5,133810453.58333333,24803099.083333332,149311146.25,16899383
bigfoot1,26067838,1564070307.5,133835315.08333333,24797564.25,149263650.91666666,16913272.75
bigfoot1,26067839,1564070367.5,133817447.16666667,24799548.166666668,149241118.83333334,16909384.083333332
bigfoot1,26067840,1564070427.5,133845268.91666667,24813763.083333332,149225692.16666666,16930049.25
bigfoot1,26067841,1564070487.5,133819105.25,24821289.416666668,149209167,16911551.5
bigfoot1,26067842,1564070547.5,133856580.75,24776335.5,149229191.5,16915073.166666668
bigfoot1,26067843,1564070607.5,133830010.16666667,24783532.916666668,149232579,16910258.666666668
bigfoot1,26067844,1564070667.5,133884814.5,24751090.5,149207198.58333334,16924403.583333332
bigfoot1,26067845,1564070727.5,133855527.91666667,24772329.416666668,149221084.08333334,16907409
bigfoot1,26067846,1564070787.5,133841276.25,24782852.083333332,149281010.25,16918278.5
bigfoot1,26067847,1564070847.5,133890912.91666667,24754313.666666668,149229949.41666666,16903057.5
bigfoot1,26067848,1564070907.5,133830584.91666667,24756236.416666668,149211776.16666666,16910370.916666668
bigfoot1,26067849,1564070967.5,133832853.41666667,24789812.25,149165364.16666666,16911568.083333332
bigfoot1,26067850,1564071027.5,133778171.08333333,24788004.25,149199345.5,16904735.416666668
bigfoot1,26067851,1564071087.5,133803805.83333333,24789211.75,149131489.75,16911271.083333332
bigfoot1,26067852,1564071147.5,133863508.25,24788728.5,149201039.08333334,16913674.416666668
bigfoot1,26067853,1564071207.5,133809833,24805150.5,149159006.41666666,16896880.083333332
