hostname,timestamp_minute,timestamp,pp0/package1,DRAM/package1,pp0/package2,DRAM/package2
bigfoot1,26120310,1567218630,134035967.27272727,24301264,148529699,16824201.363636363
bigfoot1,26120311,1567218687.5,134003430.91666667,24299388.583333332,148536663,16847820.666666668
bigfoot1,26120312,1567218747.5,134050814.5,24343284.333333332,148589732.91666666,16832792.25
bigfoot1,26120313,1567218807.5,133992607.41666667,24393773,148557135.16666666,16843763.583333332
bigfoot1,26120314,1567218867.5,134001325.25,24382426.833333332,148459148.58333334,16837188.5
bigfoot1,26120315,1567218927.5,133970466.91666667,24322271,148499919.91666666,16847058.166666668
bigfoot1,26120316,1567218987.5,134011213,24341907.333333332,148561422.83333334,16824809.5
bigfoot1,26120317,1567219047.5,134009727.66666667,24328778.583333332,148597214.83333334,16857079.75
bigfoot1,26120318,1567219107.5,133993767.08333333,24226945.666666668,148537217.41666666,16830561
bigfoot1,26120319,1567219167.5,134005943.58333333,24307352.25,148552638.83333334,16834143.75
bigfoot1,26120320,1567219227.5,134009249.66666667,24181471.5,148440065,16843378.583333332
bigfoot1,26120321,1567219287.5,134001386.25,24262937.666666668,148540375.91666666,16830609.416666668
bigfoot1,26120322,1567219347.5,134070884.83333333,24341331,148662817.25,16864783.25
bigfoot1,26120323,1567219407.5,133997373.25,24312676.583333332,148678574.5,16835677.583333332
bigfoot1,26120324,1567219467.5,133976066.91666667,24323643,148640249.58333334,16831987.75
bigfoot1,26120325,1567219527.5,133947456.75,24411791.25,148562129.83333334,16835311.666666668
bigfoot1,26120326,1567219587.5,133996371.25,24464199,148591141.83333334,16839562.5
bigfoot1,26120327,1567219647.5,134014783.5,24380020.833333332,148549159.91666666,16838534.833333332
bigfoot1,26120328,1567219707.5,133987551.66666667,24455963.666666668,148367509.58333334,16854421.333333332
bigfoot1,26120329,1567219767.5,133995654.08333333,24333435,148398159.33333334,16848699.166666668
bigfoot1,26120330,1567219827.5,134010709.33333333,24210388.5,148527624.66666666,16845724.583333332
bigfoot1,26120331,1567219887.5,134020383.41666667,24312569.5,148469285.5,16855711.666666668
bigfoot1,26120332,1567219947.5,134034884.33333333,24352469.416666668,148516114.5,16872730.333333332
