hostname,timestamp_minute,timestamp,pp0/package1,DRAM/package1,pp0/package2,DRAM/package2
bigfoot1,26108070,1566484230,131274222.27272727,24669240.09090909,148235671.1818182,16814592.90909091
bigfoot1,26108071,1566484287.5,131050064.25,24599389.75,148476869,16806783.5
bigfoot1,26108072,1566484347.5,129860248,24614716.5,148402309.75,16813768
bigfoot1,26108073,1566484407.5,129020340.33333333,24619200.666666668,148588400.33333334,16814112.166666668
bigfoot1,26108074,1566484467.5,128614269.33333333,24621264.916666668,148571976.83333334,16821841.333333332
bigfoot1,26108075,1566484527.5,128608048.83333333,24614071.333333332,148431428.5,16813616.25
bigfoot1,26108076,1566484587.5,127846169.33333333,24521423.5,148410442.58333334,16805418
bigfoot1,26108077,1566484647.5,189048959.58333334,27289615.5,222498499.66666666,25208508.166666668
bigfoot1,26108078,1566484707.5,181141041.16666666,28604590.583333332,199016087,22027950.666666668
bigfoot1,26108079,1566484767.5,202482697,30650625.166666668,221720471.16666666,24044017.5
bigfoot1,26108080,1566484827.5,234802377.41666666,33354086.666666668,250412114.25,25713798.416666668
bigfoot1,26108081,1566484887.5,238564651.08333334,33317208.583333332,253456123,26115358.333333332
bigfoot1,26108082,1566484947.5,220391708.75,32388642.666666668,238698027.91666666,24552541.166666668
bigfoot1,26108083,1566485007.5,237530891.16666666,33439775.666666668,255624564.25,26321375.333333332
bigfoot1,26108084,1566485067.5,239858094.66666666,32709991.083333332,254129786.66666666,26924509.083333332
bigfoot1,26108085,1566485127.5,211239581.66666666,30704602.333333332,227570777.66666666,24070807.916666668
bigfoot1,26108086,1566485187.5,245978755.66666666,33240342.666666668,264524316.75,27979702.833333332
bigfoot1,26108087,1566485247.5,238055273.41666666,32823761.916666668,253749141.83333334,26934205.416666668
bigfoot1,26108088,1566485307.5,190014772.33333334,29211171.833333332,207721748.08333334,23064662
bigfoot1,26108089,1566485367.5,223411690,31515353.083333332,240525659.91666666,25503976.75
bigfoot1,26108090,1566485427.5,230858021.08333334,32935970.833333332,243641038.83333334,25824112.666666668
bigfoot1,26108091,1566485487.5,217047438.33333334,32522312.416666668,229260226.5,24391772.583333332
bigfoot1,26108092,1566485547.5,214778141.75,31063773.583333332,231636675.08333334,25525673.333333332
bigfoot1,26108093,1566485607.5,224100317.41666666,32392919,237487088.41666666,24736689.416666668
bigfoot1,26108094,1566485667.5,217391202.75,32059008,230393549.75,24035726.25
bigfoot1,26108095,1566485727.5,216652740.25,31584170,232828235.91666666,24799019
bigfoot1,26108096,1566485787.5,204337723.5,30545975.666666668,215084105.16666666,23109774.083333332
bigfoot1,26108097,1566485847.5,207091343.08333334,30060381.75,222620432.33333334,24983269.25
bigfoot1,26108098,1566485907.5,223241687.16666666,31380113.833333332,239790600.08333334,26199263.583333332
bigfoot1,26108099,1566485967.5,216547210.75,31396215.833333332,233416847.33333334,25180279.75
bigfoot1,26108100,1566486027.5,209295672.91666666,30085438.083333332,224979282.41666666,24504583.25
bigfoot1,26108101,1566486087.5,236165217.75,32121581.166666668,255649400.5,27679755.333333332
bigfoot1,26108102,1566486147.5,236881977.16666666,32608082.916666668,249861115.75,26886990.833333332
bigfoot1,26108103,1566486207.5,240721567,33172873.5,254037491.5,26964392.333333332
bigfoot1,26108104,1566486267.5,193153537.91666666,30080480.833333332,204573400.08333334,21838374.666666668
bigfoot1,26108105,1566486327.5,226084132.91666666,32359829,238620284.5,25043502.833333332
bigfoot1,26108106,1566486387.5,221441846.41666666,32175620.75,234865640.16666666,25202000.666666668
bigfoot1,26108107,1566486447.5,237838700.83333334,33268094.333333332,250075297.75,26231070.916666668
bigfoot1,26108108,1566486507.5,242189906.33333334,33451835.833333332,252719389.83333334,26676693.75
bigfoot1,26108109,1566486567.5,241596168,32965396.583333332,256469553.16666666,27546635.083333332
bigfoot1,26108110,1566486627.5,239520937.33333334,33049735.25,253785864.66666666,26973690.916666668
bigfoot1,26108111,1566486687.5,235207797.33333334,-5443705522.666667,249437746.41666666,26180405
bigfoot1,26108112,1566486747.5,234493494.58333334,32817083.416666668,248286931.5,26427525.5
bigfoot1,26108113,1566486807.5,218739801.5,31862966.583333332,230605544.75,24858909.583333332
bigfoot1,26108114,1566486867.5,197493986,30679311.333333332,211847597.08333334,23129616.916666668
bigfoot1,26108115,1566486927.5,225011539.41666666,32291596.083333332,236123734.33333334,24961626.166666668
bigfoot1,26108116,1566486987.5,235750347.66666666,33293762.583333332,246906294.33333334,26001483
bigfoot1,26108117,1566487047.5,198093578.58333334,30278608.25,213318769.5,23447511.333333332
bigfoot1,26108118,1566487107.5,237225131.16666666,32726728,247992788.58333334,26505949.5
bigfoot1,26108119,1566487167.5,191889528.5,29287434.75,205877280.58333334,22380333.833333332
bigfoot1,26108120,1566487227.5,212090190.91666666,31004203,227916469.75,25042364.25
bigfoot1,26108121,1566487287.5,176864964.66666666,28301696.5,191097065.33333334,20951728.25
bigfoot1,26108122,1566487347.5,224720956.91666666,32974899.166666668,235442766.83333334,24865139.25
bigfoot1,26108123,1566487407.5,210925760.08333334,31237993.416666668,224859165.58333334,24499223.166666668
bigfoot1,26108124,1566487467.5,218574981.66666666,31460568.916666668,235235502.08333334,24577570.666666668
bigfoot1,26108125,1566487527.5,223317080.66666666,32118718.75,239526674.66666666,25303964.916666668
bigfoot1,26108126,1566487587.5,214583023.08333334,30982909.25,232201014.83333334,25274293.083333332
bigfoot1,26108127,1566487647.5,228633132.5,32802602.083333332,241997396.83333334,25708185.833333332
bigfoot1,26108128,1566487707.5,243313647.16666666,33434433.333333332,260045319.16666666,26903127.333333332
bigfoot1,26108129,1566487767.5,241487195.08333334,33048351.916666668,254158819,26663417.083333332
bigfoot1,26108130,1566487827.5,242473658.08333334,33402373.5,253411140.16666666,26185882.416666668
bigfoot1,26108131,1566487887.5,243761562.58333334,33230777.666666668,259954702.58333334,27329602.083333332
bigfoot1,26108132,1566487947.5,246857318.91666666,34021254.666666664,258548929.16666666,26782050.75
bigfoot1,26108133,1566488007.5,238532653.5,32652167.333333332,253602312,26991878.75
bigfoot1,26108134,1566488067.5,245718604.16666666,33901587,260582564.5,27182898
bigfoot1,26108135,1566488127.5,209805828.83333334,31354157.333333332,-21624169978.666668,23956511.75
bigfoot1,26108136,1566488187.5,245434023.41666666,34400271.416666664,256199488.58333334,25795626.583333332
bigfoot1,26108137,1566488247.5,240602411.41666666,32754743.583333332,255024005.33333334,26715688.333333332
bigfoot1,26108138,1566488307.5,238102056.66666666,33426598.5,252446665.08333334,26383407.916666668
bigfoot1,26108139,1566488367.5,231341240.25,32806336.5,245162661.83333334,25666858
bigfoot1,26108140,1566488427.5,233584678.33333334,32277646.333333332,252835035.91666666,26986156.583333332
bigfoot1,26108141,1566488487.5,246761097.16666666,33694636.583333336,257682013.41666666,27293051.666666668
bigfoot1,26108142,1566488547.5,251650229.58333334,33868290.416666664,270420897.9166667,28116329.25
bigfoot1,26108143,1566488607.5,238344121.5,33026744.5,253496238.25,26633299.083333332
bigfoot1,26108144,1566488667.5,206283844.91666666,30638133.916666668,219699648.16666666,22844368.833333332
bigfoot1,26108145,1566488727.5,202071712.66666666,30231165.5,218831532.08333334,-5452014547.333333
bigfoot1,26108146,1566488787.5,189468076.75,29641824.75,202666615.75,21132636.666666668
bigfoot1,26108147,1566488847.5,235041721.08333334,33164705.833333332,246061534.41666666,26159697.75
bigfoot1,26108148,1566488907.5,225173572.16666666,31470614.583333332,240549794.08333334,25898760.083333332
bigfoot1,26108149,1566488967.5,198518824.66666666,29854417,213328062.08333334,23366949.25
bigfoot1,26108150,1566489027.5,224752969.75,31420398.75,240310832,25666517.583333332
bigfoot1,26108151,1566489087.5,245153084.33333334,33746513.833333336,258808821.25,27087795.75
bigfoot1,26108152,1566489147.5,246679961.41666666,33236745.916666668,259635896.41666666,27242620.25
bigfoot1,26108153,1566489207.5,240507791.83333334,33288978.833333332,253559699.41666666,26495899.916666668
bigfoot1,26108154,1566489267.5,220961923.16666666,31820371.333333332,237568727.75,25783584.25
bigfoot1,26108155,1566489327.5,229838522.91666666,32581526,246213608.16666666,25922818.083333332
bigfoot1,26108156,1566489387.5,229153939.16666666,32336932.5,244766798.91666666,25022935.75
bigfoot1,26108157,1566489447.5,223363782.58333334,31423871.833333332,242034770.58333334,25905001.25
bigfoot1,26108158,1566489507.5,240247620.08333334,32987905.416666668,255648398.5,27190495.666666668
bigfoot1,26108159,1566489567.5,243132001.83333334,34038831.833333336,255271812.58333334,26285973.75
bigfoot1,26108160,1566489627.5,208484878.91666666,30848690,221826972.16666666,24155368.416666668
bigfoot1,26108161,1566489687.5,221943065.83333334,31360197.083333332,237294197.41666666,25038521.416666668
bigfoot1,26108162,1566489747.5,205625450.16666666,31016731.166666668,219000873.66666666,23470814.583333332
bigfoot1,26108163,1566489807.5,220992735.66666666,32433567.333333332,232449549.41666666,24359781.5
bigfoot1,26108164,1566489867.5,222240870.91666666,31714236.5,236931466.41666666,25611449
bigfoot1,26108165,1566489927.5,209816733.75,30087262.583333332,226517511.91666666,24676022.333333332
