hostname,timestamp_minute,timestamp,pp0/package1,DRAM/package1,pp0/package2,DRAM/package2
dahu33,26083651,1565019112.5,505262469.5,46260996,615671703,37846210
dahu33,26083652,1565019147.5,504657725,46249650.833333336,619600078,37914121.666666664
dahu33,26083653,1565019207.5,506002748.25,46324232.083333336,623125098.5,37905619.916666664
dahu33,26083654,1565019267.5,505553378,46296514.75,623218848.3333334,38009454.666666664
dahu33,26083655,1565019327.5,505340747.3333333,46458441.083333336,623192938.9166666,37963803.333333336
dahu33,26083656,1565019387.5,505254408.25,46386287.583333336,623183402.1666666,38096614.916666664
dahu33,26083657,1565019447.5,504415619.5,46220974.833333336,622437061.1666666,37736115.083333336
dahu33,26083658,1565019507.5,505786038.4166667,46308517.666666664,623193142.3333334,37691750.166666664
dahu33,26083659,1565019567.5,506366577.8333333,46317900.416666664,623179124.6666666,37613031.666666664
dahu33,26083660,1565019627.5,496705805.4166667,45998595.75,623221198.1666666,37605915.916666664
dahu33,26083661,1565019687.5,505920625.6666667,45904924,623139416.3333334,37615250.166666664
dahu33,26083662,1565019747.5,512886178.8333333,45772865.916666664,623189353.0833334,37779824.666666664
dahu33,26083663,1565019807.5,510678985.4166667,46053288.166666664,623234981.9166666,37726759.083333336
dahu33,26083664,1565019867.5,513298302.4166667,45831742.916666664,623135047.1666666,37733543.416666664
dahu33,26083665,1565019927.5,511119973.5,45913525.166666664,623153266.1666666,37926676.583333336
dahu33,26083666,1565019987.5,512480886.1666667,45791349.583333336,623229173.4166666,37823243.5
dahu33,26083667,1565020047.5,513652834.4166667,45803031.166666664,623182206.9166666,37750073.75
dahu33,26083668,1565020107.5,512861012.0833333,45796392.25,623190940,37628697.583333336
dahu33,26083669,1565020167.5,512455287,45745324.666666664,623187501.75,37712991.666666664
dahu33,26083670,1565020227.5,513572324.1666667,45782040.75,623182323.9166666,37674667.75
dahu33,26083671,1565020287.5,512445373.9166667,45901101.666666664,623187176.1666666,37752817.583333336
dahu33,26083672,1565020347.5,511746828.4166667,45993006.083333336,623117291.1666666,37828037.416666664
dahu33,26083673,1565020407.5,513958619.75,45773277.75,623187511.9166666,37686833.833333336
dahu33,26083674,1565020467.5,512129314.3333333,45831697,623182201.8333334,37772058.583333336
dahu33,26083675,1565020526.0714285,512325335.5,45797520.571428575,623167742.3571428,37684803.85714286
dahu33,26083676,1565020560,513086699,46136416,623615103,37768478
dahu33,26084197,1565051867.5,1723770016.5,-12797751494,-20228622180.25,-5902961257
dahu33,26084198,1565051907.5,505742815.3333333,45812041.583333336,607391908.25,40467175.25
dahu33,26084199,1565051955,507064532.71428573,45960026.28571428,607993150.8571428,40486825
dahu36,26083647,1565018855,618424903.4444444,97043918.55555555,584252118.8888888,99932220.22222222
dahu36,26083648,1565018907.5,619704508.9166666,97500919,585716111.25,100670365
dahu36,26083649,1565018967.5,617655894.5833334,96845866,586904391.5,99673613.33333333
