hostname,timestamp_minute,timestamp,pp0/package1,DRAM/package1,pp0/package2,DRAM/package2
bigfoot1,26046150,1562769030,246577033.27272728,36649959.36363637,244309510.8181818,23997745.363636363
bigfoot1,26046151,1562769087.5,245306678.91666666,36222868.583333336,239754472.5,22779064.583333332
bigfoot1,26046152,1562769147.5,184168295.83333334,29583441.166666668,195007496.41666666,21228821.416666668
bigfoot1,26046153,1562769207.5,133947014.25,24533366.416666668,149456129.83333334,16833656.666666668
bigfoot1,26046154,1562769267.5,133677137.83333333,24475260.833333332,149058786.91666666,16825818
bigfoot1,26046155,1562769327.5,135444233.33333334,24683315.333333332,149936114.16666666,16831308.166666668
bigfoot1,26046156,1562769387.5,150947642.16666666,26360570.166666668,163717211.91666666,17994138.75
bigfoot1,26046157,1562769447.5,216637328.91666666,33457785,220356801.75,21946545.666666668
bigfoot1,26046158,1562769507.5,249054945.08333334,36635589.916666664,250670577.16666666,24438881.25
bigfoot1,26046159,1562769567.5,242820611.5,36180523.25,238027756.75,22121693.666666668
bigfoot1,26046160,1562769627.5,254736408.41666666,36835795.5,252821994.75,25085322.833333332
bigfoot1,26046161,1562769687.5,254571034.08333334,36796289.666666664,256869815.66666666,24527515.416666668
bigfoot1,26046162,1562769747.5,262468520.58333334,37019424.833333336,264756036.08333334,24957876.416666668
bigfoot1,26046163,1562769807.5,284618595.0833333,36045233,297585114.6666667,28177405.666666668
bigfoot1,26046164,1562769867.5,250233617.41666666,35053374.833333336,256692437.75,24213666.5
bigfoot1,26046165,1562769927.5,250546467.58333334,36389551.833333336,251110222.41666666,23771332.083333332
bigfoot1,26046166,1562769987.5,247844463.41666666,36331392.75,248524734.08333334,23452109
bigfoot1,26046167,1562770047.5,245856807.66666666,36262400,242383956.91666666,22472057.333333332
bigfoot1,26046168,1562770107.5,249503053.91666666,35958084.166666664,253136960.83333334,24714976.083333332
bigfoot1,26046169,1562770166.8181818,165907401.0909091,27606602.272727273,179962368.9090909,19975394.90909091
bigfoot1,26046170,1562770227.5,133905881.75,24499969.083333332,149302280.91666666,16878688.416666668
bigfoot1,26046171,1562770287.5,133572132.25,24514048.916666668,148878535.33333334,16840712.583333332
bigfoot1,26046172,1562770347.5,133554111.58333333,24455711.25,148609818.5,16842844.333333332
bigfoot1,26046173,1562770407.5,133531065.83333333,24487925.333333332,148741425.25,16837507.25
bigfoot1,26046174,1562770467.5,133415628.33333333,24420423.083333332,148828191.58333334,16861952.75
bigfoot1,26046175,1562770527.5,150527121.16666666,26428608,165309426.91666666,18370084
bigfoot1,26046176,1562770587.5,133960823.41666667,24922801.166666668,148909780.08333334,16841240.333333332
bigfoot1,26046177,1562770647.5,153217742.33333334,26894813,165651329.66666666,17655688.75
bigfoot1,26046178,1562770707.5,303676916.25,36475490.666666664,322806485.6666667,28669954.75
bigfoot1,26046179,1562770767.5,198031205.91666666,30825773.25,200715550.58333334,20949623.166666668
bigfoot1,26046180,1562770827.5,175010095.75,27431934.75,185894665.75,19477606.333333332
bigfoot1,26046181,1562770887.5,283614208.25,34774310.5,301397767.5833333,27661145.416666668
bigfoot1,26046182,1562770947.5,183655505.16666666,29449953.833333332,195750261.83333334,20653019.916666668
bigfoot1,26046183,1562771007.5,134416307.33333334,24543574.083333332,149675571,16841411.25
bigfoot1,26046184,1562771067.5,133669467.75,24464776.5,148886022.25,16848255.416666668
bigfoot1,26046185,1562771127.5,133672799.33333333,24468208.75,148647268.58333334,16861342.083333332
bigfoot1,26046186,1562771187.5,133657733.75,24463718.25,148656652.75,16842046.166666668
bigfoot1,26046187,1562771247.5,133512607.83333333,24458573.666666668,148670309.33333334,16840242.083333332
bigfoot1,26046188,1562771307.5,164694260.25,26334683.833333332,185296426.08333334,19574989.583333332
bigfoot1,26046189,1562771367.5,368942770.9166667,37523848,416506975.0833333,33855428.166666664
bigfoot1,26046190,1562771427.5,288303705.25,34654267.916666664,327742228.4166667,30517990.75
bigfoot1,26046191,1562771487.5,245580141.16666666,35879003.666666664,273990870.6666667,28180072.916666668
bigfoot1,26046192,1562771547.5,146714519,25629120.5,162915344.25,18205719.916666668
bigfoot1,26046193,1562771607.5,134667557.91666666,25050209.333333332,149581948.41666666,16863611.583333332
bigfoot1,26046194,1562771667.5,289104408.25,34563754.416666664,318332803.1666667,27809606.416666668
bigfoot1,26046195,1562771727.5,341264736.0833333,37274585.5,388221026.6666667,31419256.333333332
bigfoot1,26046196,1562771787.5,266781579.16666666,36719092.166666664,292188303.25,30294654.083333332
bigfoot1,26046197,1562771847.5,249056293,31505836.5,277719392,26296998.666666668
bigfoot1,26046198,1562771907.5,372305738.3333333,37922019,413980990.8333333,33169863.25
bigfoot1,26046199,1562771967.5,259921535.16666666,35034729.25,290953397.3333333,30606007.75
bigfoot1,26046200,1562772027.5,188694559.83333334,29208607.75,200269929,22205145
bigfoot1,26046201,1562772087.5,133995384.5,24571880.333333332,149654793.75,16860109.166666668
bigfoot1,26046202,1562772147.5,133845121.41666667,24574807.75,149365742.08333334,16852891.333333332
bigfoot1,26046203,1562772207.5,133660058.25,24533697.916666668,149080027.08333334,16831102.833333332
bigfoot1,26046204,1562772267.5,133642541.16666667,24537705.166666668,148783300.33333334,16847150.083333332
bigfoot1,26046205,1562772327.5,139307046.91666666,25252599,152962794,16860578.333333332
bigfoot1,26046206,1562772387.5,136947408.41666666,24912330.833333332,151959195.58333334,17138070.583333332
bigfoot1,26046207,1562772447.5,139035593.83333334,24921132.166666668,153276188.41666666,17227889.25
bigfoot1,26046208,1562772507.5,185981579.5,29935277.5,196617243.66666666,21134340.083333332
bigfoot1,26046209,1562772567.5,219471178.91666666,33261262.833333332,230247040.33333334,23909397.916666668
bigfoot1,26046210,1562772626.3636363,260108842.27272728,37523540.63636363,241215064.0909091,20733082.90909091
bigfoot1,26046211,1562772687.5,277404395.4166667,39649776.583333336,231623023.58333334,17024042.25
bigfoot1,26046212,1562772747.5,277411368.75,39651254.333333336,231731060.58333334,17030356
