hostname,timestamp_minute,timestamp,pp0/package1,DRAM/package1,pp0/package2,DRAM/package2
dahu33,26095110,1565706630,39675230.27272727,10670221.454545455,112146275,8409675.636363637
dahu33,26095111,1565706687.5,33322093.833333332,9549306.25,101493651.91666667,7525218.25
dahu33,26095112,1565706747.5,32822196.916666668,9489261.5,100110654.75,7298845.916666667
dahu33,26095113,1565706807.5,32211073.75,9259283.25,99527617.91666667,7000169.416666667
dahu33,26095114,1565706867.5,30288700.083333332,8946290,98150968.41666667,6567795.333333333
dahu33,26095115,1565706927.5,137812472.75,22941957.25,199960766.41666666,19513606
dahu33,26095116,1565706987.5,560865558.4166666,101831563.58333333,622509997.9166666,96391642.16666667
dahu33,26095117,1565707047.5,564125427.5833334,102449576.5,623199022.0833334,96637188.08333333
dahu33,26095118,1565707107.5,541555686.5,82902897,611963175.4166666,75456347.5
dahu33,26095119,1565707167.5,564684284.4166666,98620826.66666667,623146287.8333334,92912820
dahu33,26095120,1565707227.5,568817940.8333334,98787961.41666667,623083493,93648414.66666667
dahu33,26095121,1565707287.5,566638665.75,102352265.91666667,623190680.6666666,98327110
dahu33,26095122,1565707347.5,558509007.25,92814525.16666667,622708290.5,87129154.83333333
dahu33,26095123,1565707407.5,549506095.5,87397505.25,621861338.3333334,-5393959763.166667
dahu33,26095124,1565707467.5,565128873.5,98673562,623102307,94058594.91666667
dahu33,26095125,1565707527.5,575779069,103009845.91666667,623203706.5,98184978.16666667
dahu33,26095126,1565707587.5,566610559.1666666,101111846.5,623179618.0833334,98511421.5
dahu33,26095127,1565707647.5,539795879.6666666,82521100.75,617475358.0833334,75284761.75
dahu33,26095128,1565707707.5,566752287.5,94675459.08333333,623094891.3333334,89740806.16666667
dahu33,26095129,1565707767.5,571718390.0833334,103376351,623242158.5833334,97974011.58333333
dahu33,26095130,1565707827.5,568786360.25,103412349.41666667,623151562.25,98561790.33333333
dahu33,26095131,1565707887.5,-21277362089.666668,95947270.25,623129686.3333334,89528194.83333333
dahu33,26095132,1565707947.5,549380984,88641123.75,622654828.9166666,87819713.91666667
dahu33,26095133,1565708007.5,571188799.5833334,103693381.08333333,623199678.1666666,98487405.58333333
dahu33,26095134,1565708067.5,574115046.3333334,104088432.08333333,623197669.1666666,98914967.91666667
dahu33,26095135,1565708127.5,546670801.0833334,-5390988601.333333,617966740.75,83516409.16666667
dahu33,26095136,1565708187.5,572673074.0833334,103612609.83333333,623185477.4166666,98779843.41666667
dahu33,26095137,1565708247.5,574053599.4166666,104012384.75,-21222111773.333332,98719785.83333333
dahu33,26095138,1565708307.5,550185303.1666666,87921509.91666667,618092045.5833334,86416859.5
dahu33,26095139,1565708367.5,570484308.1666666,100648832.75,623104631.4166666,95745857.25
dahu33,26095140,1565708427.5,573907034,103873810.16666667,623176413.75,98829517.41666667
