hostname,timestamp_minute,timestamp,pp0/package1,DRAM/package1,pp0/package2,DRAM/package2
bigfoot1,26040390,1562423430,125132697.45454545,24494724.181818184,143792928,16713710.272727273
bigfoot1,26040391,1562423487.5,125114324.08333333,24500943.166666668,144128374.5,16726322.083333334
bigfoot1,26040392,1562423547.5,125117167.25,24471086.5,143903318.16666666,16738679.416666666
bigfoot1,26040393,1562423607.5,125438898.08333333,24488531,144117540.75,16740597
bigfoot1,26040394,1562423667.5,125186233.41666667,24474761,143725553.75,16736969.666666666
bigfoot1,26040395,1562423727.5,127618361.25,24491138.416666668,146912348.66666666,17153851.25
bigfoot1,26040396,1562423787.5,125277068.83333333,24485594.666666668,144147702.33333334,16746569.083333334
bigfoot1,26040397,1562423847.5,125243992.91666667,24488040.166666668,143891192.5,16728748.416666666
bigfoot1,26040398,1562423907.5,125250132.08333333,24506222.916666668,143686206.41666666,16748615.5
bigfoot1,26040399,1562423967.5,125187815.25,24517005.583333332,143584232.25,16733196.916666666
bigfoot1,26040400,1562424027.5,125180394.5,24505553.583333332,144228670.25,16737533.166666666
bigfoot1,26040401,1562424087.5,125182184.83333333,24519987.833333332,144525366.5,16734289.583333334
bigfoot1,26040402,1562424147.5,125281570.16666667,24501662.25,143959755.16666666,16724764
bigfoot1,26040403,1562424207.5,125233805.16666667,24520615.083333332,143673241.66666666,16739512
bigfoot1,26040404,1562424267.5,125285552.66666667,24500266.166666668,143921445.5,16731084.25
bigfoot1,26040405,1562424327.5,125185974.08333333,24525150.333333332,144675995.83333334,16735989.166666666
bigfoot1,26040406,1562424387.5,125199096.58333333,24485055.333333332,144481482.33333334,16742675.25
bigfoot1,26040407,1562424447.5,125166264.83333333,24448139,143752968.58333334,16741740.666666666
bigfoot1,26040408,1562424507.5,125264180.33333333,24489313.916666668,143987714.25,16754905
bigfoot1,26040409,1562424567.5,125228856.25,24480476.833333332,143886030,16743979.583333334
bigfoot1,26040410,1562424627.5,125234812.25,24501607.416666668,143905983.25,16749978.5
bigfoot1,26040411,1562424687.5,125294718.08333333,24519652.5,143502358.91666666,16743463.166666666
bigfoot1,26040412,1562424747.5,125274408.66666667,24478499.333333332,143654397.08333334,16745021.25
bigfoot1,26040413,1562424807.5,125269185.16666667,24462164,143510730.83333334,16740080.666666666
bigfoot1,26040414,1562424867.5,125325291.5,24525784,144017209.41666666,16748308.166666666
