hostname,timestamp_minute,timestamp,pp0/package1,DRAM/package1,pp0/package2,DRAM/package2
bigfoot1,26051910,1563114630,132309547.9090909,24590250.454545453,148797115.54545453,16774730.818181818
bigfoot1,26051911,1563114687.5,132278195.25,24577964.583333332,149030807.41666666,16800352.416666668
bigfoot1,26051912,1563114747.5,131952070.08333333,24542770.833333332,149078084.16666666,16812972.416666668
bigfoot1,26051913,1563114807.5,131819873.33333333,24548494.25,148960357.83333334,16789010
bigfoot1,26051914,1563114867.5,131540984,24558626.666666668,148920135.66666666,16776436
bigfoot1,26051915,1563114927.5,131627338.41666667,24529301.75,149004572.58333334,16785349.5
bigfoot1,26051916,1563114987.5,131830264.58333333,24497113,148999755.91666666,16774166.416666666
bigfoot1,26051917,1563115047.5,131864845.91666667,24511566.5,149059499,16776167
bigfoot1,26051918,1563115107.5,132160372.33333333,24559127.75,149050272.5,16771951.75
bigfoot1,26051919,1563115167.5,132192644.58333333,24557999.416666668,149013412.5,16776869.5
bigfoot1,26051920,1563115227.5,134191337.33333333,24788258,150323615.16666666,16791554.916666668
bigfoot1,26051921,1563115287.5,132053657.75,24534371.083333332,148974182.25,16786528.916666668
bigfoot1,26051922,1563115347.5,132069572.58333333,24578926,149068048.91666666,16770521.25
bigfoot1,26051923,1563115407.5,132187156.5,24524231,149043904.58333334,16775580.416666666
bigfoot1,26051924,1563115467.5,132360994.33333333,24503953.5,149067906.58333334,16780983.916666668
bigfoot1,26051925,1563115527.5,132780513.33333333,24494598.75,148952163.83333334,16795731.833333332
bigfoot1,26051926,1563115587.5,132771063.16666667,24489083.083333332,149025263.41666666,16789971.333333332
bigfoot1,26051927,1563115647.5,-21712591683.333332,24513064.583333332,148871399.25,16784478.666666668
bigfoot1,26051928,1563115707.5,132384238.58333333,24511923.416666668,148762757,16781607.416666668
bigfoot1,26051929,1563115767.5,132406119.58333333,24545690.583333332,148829234.25,16808680.75
bigfoot1,26051930,1563115827.5,132500713.58333333,24516834.75,148812017.33333334,16791071.666666668
bigfoot1,26051931,1563115887.5,132386151,24478106.583333332,148742620.5,16797430.083333332
bigfoot1,26051932,1563115947.5,132125882.41666667,24495637.916666668,148607087.25,16773722.833333334
bigfoot1,26051933,1563116007.5,132456524.33333333,24523942.833333332,148654979.33333334,16768604.916666666
bigfoot1,26051934,1563116067.5,132321886.16666667,24515230.833333332,148618485.5,16775180.083333334
bigfoot1,26051935,1563116127.5,132520916.25,24494960.833333332,148736817.16666666,16778728.416666668
bigfoot1,26051936,1563116187.5,132140408.83333333,24499543.166666668,148649521.75,16770266.25
bigfoot1,26051937,1563116247.5,132243364.66666667,24496090.5,148660503,16771064.416666666
bigfoot1,26051938,1563116307.5,132727458.66666667,24516463.75,148773127.83333334,16778307.666666668
bigfoot1,26051939,1563116367.5,132570283.33333333,24525280.333333332,148792145.33333334,16765770.583333334
bigfoot1,26051940,1563116427.5,132420259.41666667,24525525.166666668,148773656.83333334,16774552.833333334
bigfoot1,26051941,1563116487.5,132254778.16666667,24497486.666666668,148774277.33333334,16757363.25
