hostname,timestamp_minute,timestamp,pp0/package1,DRAM/package1,pp0/package2,DRAM/package2
bigfoot1,26065590,1563935430,144998141.8181818,25445950.181818184,160708306.63636363,18311264
bigfoot1,26065591,1563935487.5,145083338.25,25482623.083333332,160969975.66666666,18352681.5
bigfoot1,26065592,1563935547.5,144857920.83333334,25496586.833333332,160847010.5,18344647.666666668
bigfoot1,26065593,1563935607.5,144967402.33333334,25531846.916666668,161083160.08333334,18364679.25
bigfoot1,26065594,1563935667.5,145007309,25532261.333333332,160780151.75,18303674.333333332
bigfoot1,26065595,1563935727.5,144964625.25,25537840.75,160967742.83333334,18346901.916666668
bigfoot1,26065596,1563935787.5,144857691.91666666,25522047.25,160842198.91666666,18307869.083333332
bigfoot1,26065597,1563935847.5,145005935.75,25501697,160872426.5,18374663.75
bigfoot1,26065598,1563935907.5,145152134.91666666,25476324.583333332,160814051.58333334,18354578.75
bigfoot1,26065599,1563935967.5,145094807.75,25473416.25,160860794.25,18377235.416666668
bigfoot1,26065600,1563936027.5,144974309.5,25437213.916666668,160897923.91666666,18353612.25
bigfoot1,26065601,1563936087.5,145136260.66666666,25474656.75,160913360.58333334,18342081.166666668
bigfoot1,26065602,1563936147.5,145128021.08333334,25485941.916666668,160735504.66666666,18331891.333333332
bigfoot1,26065603,1563936207.5,144999801.66666666,25509983.25,160911997.58333334,18325837.666666668
bigfoot1,26065604,1563936267.5,-21700301762.083332,25532395.166666668,160781708.08333334,18269666.25
bigfoot1,26065605,1563936327.5,145005625.41666666,25512822.666666668,161036885.33333334,18344965.166666668
bigfoot1,26065606,1563936387.5,144885778.25,25496218.333333332,160955907.16666666,18315186.333333332
bigfoot1,26065607,1563936447.5,145018107.08333334,25462430.916666668,161010416.41666666,18317678.916666668
bigfoot1,26065608,1563936507.5,144849406.41666666,25450547.833333332,160785685.58333334,18280827.583333332
bigfoot1,26065609,1563936567.5,144922383.91666666,25472908.75,160966094.91666666,18289954.083333332
bigfoot1,26065610,1563936627.5,144746709.91666666,25494452.5,160805227,18280684.833333332
bigfoot1,26065611,1563936687.5,144878448.91666666,25564056,160903422.08333334,18301086
bigfoot1,26065612,1563936747.5,144766505.66666666,25489582,160828730.5,18356005.5
bigfoot1,26065613,1563936807.5,145031616.16666666,25506192.666666668,160967702.16666666,18433739.583333332
bigfoot1,26065614,1563936867.5,144688355.41666666,25517519.75,160844284.25,18357742
bigfoot1,26065615,1563936927.5,144960805.41666666,25524751.583333332,160905034.5,18395295.833333332
bigfoot1,26065616,1563936987.5,144935180.91666666,25530435.5,160907613.16666666,18343789.583333332
bigfoot1,26065617,1563937047.5,145059626.25,25546223.916666668,161018905.41666666,18406790
bigfoot1,26065618,1563937107.5,144952265.66666666,25503332.833333332,160667384.5,18379241
bigfoot1,26065619,1563937167.5,144996343.08333334,25493171.083333332,160849095.83333334,18376851.666666668
bigfoot1,26065620,1563937227.5,145054244.91666666,25493163.416666668,160611267.91666666,18364618.083333332
bigfoot1,26065621,1563937287.5,145058258,25471707.75,160835057.83333334,18402210.166666668
bigfoot1,26065622,1563937347.5,145050572.66666666,25478777.666666668,160742198.16666666,18320008.333333332
bigfoot1,26065623,1563937407.5,144864299,25534432.666666668,160837417.83333334,18359433.916666668
bigfoot1,26065624,1563937467.5,144868586.58333334,25514445.75,160809270.58333334,18339243
bigfoot1,26065625,1563937527.5,145090860.91666666,25504040.416666668,160853566.66666666,18400789.75
bigfoot1,26065626,1563937587.5,144865402.66666666,25481089.25,160621918.5,18356653.166666668
bigfoot1,26065627,1563937647.5,145093643,25492439.25,160842239.66666666,18419168.916666668
bigfoot1,26065628,1563937707.5,145060134.83333334,25507634.666666668,160835866.5,18412717.416666668
bigfoot1,26065629,1563937767.5,145341928.33333334,25511853.666666668,160832875.83333334,18350827.666666668
bigfoot1,26065630,1563937827.5,145143503.58333334,25462552,160554403.66666666,18323194.583333332
bigfoot1,26065631,1563937887.5,145260034.66666666,25495728.75,160706802.91666666,18329124.583333332
bigfoot1,26065632,1563937947.5,145174839.91666666,25496598.333333332,160617015.33333334,18409623
bigfoot1,26065633,1563938007.5,145191756.83333334,25484583.916666668,160715373.33333334,18455658.166666668
bigfoot1,26065634,1563938067.5,145070515.83333334,25526817.083333332,160648921.41666666,18385900.333333332
bigfoot1,26065635,1563938127.5,145155619,25504352.833333332,160929585.75,18426830.416666668
bigfoot1,26065636,1563938187.5,145059056.5,25486578.083333332,160831431.33333334,18375854.583333332
bigfoot1,26065637,1563938247.5,145001617.58333334,25536553,161024073.08333334,18413097.416666668
