hostname,timestamp_minute,timestamp,pp0/package1,DRAM/package1,pp0/package2,DRAM/package2
bigfoot1,26127792,1567667557.5,163730591.25,21709927.375,247007355.625,23872194.125
bigfoot1,26127793,1567667607.5,351269725.5833333,37790232.416666664,382226733.5,33964958.333333336
bigfoot1,26127794,1567667667.5,413941653.75,42955438.5,376738267.9166667,33218717.333333332
bigfoot1,26127795,1567667727.5,417165034.0833333,43011224.916666664,360997514.3333333,32502261.75
bigfoot1,26127796,1567667787.5,417914681.3333333,43023741.5,341121553.0833333,32004826.916666668
bigfoot1,26127797,1567667847.5,420363034.1666667,43099827.166666664,343984552.3333333,32666615.583333332
bigfoot1,26127798,1567667907.5,423639540.5,43133432.333333336,348019591.5,32459687
bigfoot1,26127799,1567667967.5,416854193,43075460.583333336,280045247.5833333,25767185.166666668
bigfoot1,26127800,1567668027.5,420571672.1666667,43120210.583333336,304293547.8333333,28481850.166666668
bigfoot1,26127801,1567668087.5,420940618.5833333,43098153.083333336,328894091.0833333,31683145.666666668
bigfoot1,26127802,1567668147.5,421313272.8333333,43104927.166666664,329000653.0833333,31759006.833333332
bigfoot1,26127803,1567668207.5,421564019.8333333,43194039.416666664,326905993,32064718.75
bigfoot1,26127804,1567668267.5,420868643.0833333,43197617.083333336,380607195.1666667,34075837.416666664
bigfoot1,26127805,1567668327.5,422285397.5833333,43200992.083333336,408168546.3333333,35104817.25
bigfoot1,26127806,1567668387.5,412759894.0833333,42585132.583333336,383262665.3333333,34060648.333333336
bigfoot1,26127807,1567668447.5,142905502.66666666,24606797.5,154617824.16666666,16938004
bigfoot1,26127808,1567668507.5,134895371.08333334,24369773.666666668,149409473.66666666,16656366.666666666
bigfoot1,26127809,1567668567.5,151694710.5,24995882.833333332,170449647.08333334,19354769
bigfoot1,26127810,1567668627.5,181067646.58333334,25991583.916666668,211475075.08333334,23042551
bigfoot1,26127811,1567668687.5,191919486.5,26335001.333333332,227032377.75,24633832.583333332
bigfoot1,26127812,1567668747.5,184584061.16666666,28176733.75,197369113.5,20185904.5
bigfoot1,26127813,1567668807.5,265107358.66666666,39193855.666666664,231444974.33333334,17114838.833333332
bigfoot1,26127814,1567668867.5,266438415,39367600,231701000.83333334,17138791
bigfoot1,26127815,1567668927.5,268256230.58333334,39449420.583333336,232639368.25,17166114.25
bigfoot1,26127816,1567668987.5,267434414.66666666,39407669.333333336,231588711.75,17103175.083333332
bigfoot1,26127817,1567669047.5,270769692.5833333,39451316.5,231668377.66666666,17137503.25
bigfoot1,26127818,1567669107.5,271065493.5833333,39393685.166666664,231651669.33333334,17122862.416666668
bigfoot1,26127819,1567669167.5,250357432,33842716.5,252435841.58333334,22941231.833333332
bigfoot1,26127820,1567669227.5,246733321.16666666,33290343,253681499.83333334,23550035.333333332
bigfoot1,26127821,1567669287.5,251339388.5,34717304,248492146.41666666,22021194.416666668
bigfoot1,26127822,1567669347.5,268711083.75,39347702.333333336,231486462.91666666,17089029
bigfoot1,26127823,1567669407.5,271129890.6666667,39392805.416666664,232335017.16666666,17157111.416666668
bigfoot1,26127824,1567669467.5,272196441.6666667,39346057.583333336,231492429,17158599.416666668
bigfoot1,26127825,1567669527.5,273178179.4166667,39391823.666666664,232496673.5,17241062.5
bigfoot1,26127826,1567669587.5,273785228.5,39403706.75,231753841.91666666,17193077.916666668
bigfoot1,26127827,1567669647.5,272383727.5,39064243,233608054.75,17677323
bigfoot1,26127828,1567669707.5,261529563.25,36113259.416666664,245897050.16666666,20606344.666666668
bigfoot1,26127829,1567669767.5,273762065.6666667,39466200.833333336,232846546.41666666,17251721.583333332
bigfoot1,26127830,1567669827.5,273813945.4166667,39457913.333333336,231783296.41666666,17167096
bigfoot1,26127831,1567669887.5,273993200.1666667,39471304.666666664,233776521.5,17433344
bigfoot1,26127832,1567669947.5,273639690.5,39408593.75,232279658.41666666,17220851.25
bigfoot1,26127833,1567670007.5,273923599.9166667,39456278.75,232461024,17222059.916666668
bigfoot1,26127834,1567670067.5,273728903.3333333,39409724.75,232537048.08333334,17164197.916666668
bigfoot1,26127835,1567670127.5,273669699.4166667,39420466.5,233012607.41666666,17147789.916666668
bigfoot1,26127836,1567670187.5,273807669,39405468.75,232605783.75,17153582.25
bigfoot1,26127837,1567670247.5,273785309.8333333,39338076.083333336,232650349.41666666,17212774.166666668
bigfoot1,26127838,1567670307.5,273883306.6666667,39336551.166666664,232586862.91666666,17218980.833333332
bigfoot1,26127839,1567670367.5,273794419.25,39312230.583333336,232437683.16666666,17245412.833333332
bigfoot1,26127840,1567670427.5,161507648.33333334,26812792.25,172701630,18317608.75
bigfoot1,26127841,1567670487.5,135014755.41666666,24681791.75,149262328.41666666,16782311.166666668
bigfoot1,26127842,1567670547.5,200371491.25,25329957.083333332,251408612.41666666,28414108.166666668
bigfoot1,26127843,1567670607.5,217909430.58333334,24924753.083333332,284415023,32446609.25
bigfoot1,26127844,1567670667.5,199503497.25,24636179.916666668,258899020.83333334,29435177.833333332
bigfoot1,26127845,1567670727.5,170620931.58333334,26953821.25,187969825.25,20007096
bigfoot1,26127846,1567670787.5,252191803.33333334,34822620.25,247732331.91666666,21893277.5
bigfoot1,26127847,1567670847.5,252670831.41666666,34971605.25,247746792.08333334,21818380.083333332
bigfoot1,26127848,1567670907.5,254809167.25,34881531.583333336,247976660.08333334,21859985.916666668
